,,Weight,Weight,Weight,Weight,Weight,Weight,Value,Value,Value,Value,Value,Value,Item_Count,Item_Count,Item_Count,Item_Count,Item_Count,Item_Count
ENDUSE,,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS
Date,District,,,,,,,,,,,,,,,,,,
2019-04,"BUFFALO, NY",65113,1439606,600454,726802,2542518,74847,817193514,576185267,591175165,302519029,1025161320,184670961,30737,34736,49788,26753,57150,10096
2019-04,"CHARLESTON, SC",90761922,85125860,95960466,39778572,323625381,1493306,689967155,1441444179,795506299,110171170,1121932187,70973866,29352,39375,44250,2587,33667,902
2019-04,"CHICAGO, IL",58299719,128664093,150759991,91573883,239736945,3376831,592683278,4959642641,6504420712,309960131,3908603816,764800115,29313,185690,117459,10118,78374,9708
2019-04,"CLEVELAND, OH",56733522,57304731,70892902,18844628,152594146,1682423,632495375,3804115355,2892454958,91647955,998395100,470317058,22491,187826,124009,2334,51473,19270
2019-04,"COLUMBIA-SNAKE, OR",4526682,4925186,7502954,8677916,20749934,59060,803248816,168704139,67814778,13881917,149650819,11845354,2552,5376,7528,509,3361,486
2019-04,"DALLAS-FORT WORTH, TX",27569613,36224232,72788254,6733112,52133833,325111,143328883,1410571661,1699031959,23994869,469717643,284865082,6930,46577,53407,1076,20213,4857
2019-04,"DETROIT, MI",21616549,12383414,8627289,4603340,36807744,840414,4217392116,1839851914,1289083910,621298603,2570988580,616681299,216388,71379,70698,48954,134745,23372
2019-04,"DULUTH, MN",0,14690,34360,0,860,0,2826553,13010094,52291151,60263465,721955880,1832689,307,908,4853,2093,20189,112
2019-04,"EL PASO, TX",1953462,9311691,4287721,874988,7081333,11409,1483408105,3150522321,435573904,143835619,283894210,58791164,114322,134038,54724,6262,41503,5132
2019-04,"GREAT FALLS, MT",1910217,13448976,21920226,6688818,24817912,157085,59289549,411347648,200906072,285754823,1307099917,155677741,2141,12257,15315,9424,24566,5470
2019-04,"HONOLULU, HI",72223,1161269,2256706,4762671,115152579,2600,27282529,40829873,18832542,14232479,183055210,2029696,159,228,4644,982,818,58
